ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13729714,JJ126078,01/01/2025 12:30:00 AM,087XX S COTTAGE GROVE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0632,006,8,44,07,1183086,1847385,2025,01/26/2025 03:40:46 PM,41.736422269,-87.604815966,"(41.736422269, -87.604815966)"
13710791,JJ100042,01/01/2025 12:35:00 AM,024XX N LINCOLN AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,1932,019,43,7,08B,1170316,1916379,2025,01/09/2025 03:41:07 PM,41.926035394,-87.649588902,"(41.926035394, -87.649588902)"
13708063,JJ100047,01/01/2025 12:40:00 AM,007XX N LAWNDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1112,011,27,23,07,1151584,1904755,2025,01/09/2025 03:41:07 PM,41.894527308,-87.718726177,"(41.894527308, -87.718726177)"
13708424,JJ100423,01/01/2025 12:45:00 AM,004XX N DEARBORN ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESTAURANT,false,false,1831,018,42,8,02,1175865,1903171,2025,01/09/2025 03:41:07 PM,41.889668819,-87.629597402,"(41.889668819, -87.629597402)"
13708002,JJ100056,01/01/2025 12:47:00 AM,012XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0131,001,34,33,08B,1177422,1894782,2025,01/09/2025 03:41:07 PM,41.86661375,-87.62413407,"(41.86661375, -87.62413407)"
13707861,JJ100037,01/01/2025 12:47:00 AM,031XX N LONG AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,2514,025,30,19,08B,1139812,1920544,2025,01/09/2025 03:41:07 PM,41.938077347,-87.761575234,"(41.938077347, -87.761575234)"
13707927,JJ100038,01/01/2025 12:48:00 AM,018XX N SHEFFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,1811,018,43,7,08B,1169361,1912007,2025,01/09/2025 03:41:07 PM,41.914059238,-87.653225447,"(41.914059238, -87.653225447)"
13707855,JJ100046,01/01/2025 12:50:00 AM,022XX N CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,true,true,1414,014,1,22,08B,1157336,1914799,2025,01/09/2025 03:41:07 PM,41.921973868,-87.697327162,"(41.921973868, -87.697327162)"
13707962,JJ100058,01/01/2025 12:50:00 AM,104XX S TORRENCE AVE,1020,ARSON,BY FIRE,RESIDENCE,false,false,0434,004,10,51,09,1195515,1836360,2025,01/09/2025 03:41:07 PM,41.705870932,-87.559644103,"(41.705870932, -87.559644103)"
13707856,JJ100043,01/01/2025 12:59:00 AM,020XX W DIVISION ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1212,012,1,24,08B,1162352,1907980,2025,01/09/2025 03:41:07 PM,41.903158484,-87.679088085,"(41.903158484, -87.679088085)"
13708208,JJ100506,01/01/2025 01:00:00 AM,0000X W DIVISION ST,0820,THEFT,$500 AND UNDER,COMMERCIAL / BUSINESS OFFICE,false,false,1824,018,2,8,06,1175841,1908367,2025,01/09/2025 03:41:07 PM,41.903927445,-87.629529005,"(41.903927445, -87.629529005)"
13711663,JJ104215,01/01/2025 01:00:00 AM,010XX S SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1133,011,24,29,08B,1150541,1895225,2025,01/09/2025 03:41:07 PM,41.868396387,-87.722805835,"(41.868396387, -87.722805835)"
13708138,JJ100394,01/01/2025 01:00:00 AM,003XX W OHIO ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1831,018,42,8,06,1174007,1904136,2025,01/09/2025 03:41:07 PM,41.892358446,-87.636391922,"(41.892358446, -87.636391922)"
13713467,JJ100141,01/01/2025 01:00:00 AM,092XX S WENTWORTH AVE,0460,BATTERY,SIMPLE,STREET,false,false,0634,006,9,49,08B,1176574,1843629,2025,01/09/2025 03:41:07 PM,41.726264108,-87.628786224,"(41.726264108, -87.628786224)"
13708114,JJ100309,01/01/2025 01:00:00 AM,025XX W PETERSON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2413,024,40,2,07,1158106,1939768,2025,01/09/2025 03:41:07 PM,41.990474552,-87.693813313,"(41.990474552, -87.693813313)"
13713111,JJ106226,01/01/2025 01:00:00 AM,0000X E MONROE ST,0460,BATTERY,SIMPLE,HOTEL / MOTEL,false,true,0112,001,34,32,08B,1176591,1899936,2025,01/09/2025 03:41:07 PM,41.880775433,-87.627029031,"(41.880775433, -87.627029031)"
13708101,JJ100289,01/01/2025 01:00:00 AM,016XX W HARRISON ST,0462,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",HOSPITAL BUILDING / GROUNDS,false,false,1231,012,27,28,04B,1165491,1897444,2025,01/09/2025 03:41:07 PM,41.874180626,-87.66785807,"(41.874180626, -87.66785807)"
13707953,JJ100114,01/01/2025 01:00:00 AM,106XX S AVENUE J,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0432,004,10,52,08A,1202509,1835012,2025,01/09/2025 03:41:07 PM,41.701996623,-87.534079031,"(41.701996623, -87.534079031)"
13708404,JJ100373,01/01/2025 01:00:00 AM,060XX S EBERHART AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0313,003,20,42,08B,1180633,1865092,2025,01/09/2025 03:41:07 PM,41.785068783,-87.613259823,"(41.785068783, -87.613259823)"
13708972,JJ101280,01/01/2025 01:00:00 AM,050XX W SCHUBERT AVE,0810,THEFT,OVER $500,STREET,false,false,2521,025,31,19,06,1142384,1917489,2025,01/09/2025 03:41:07 PM,41.929646665,-87.752198586,"(41.929646665, -87.752198586)"
13717639,JJ111768,01/01/2025 01:00:00 AM,025XX W LAWRENCE AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1911,019,40,4,06,1158395,1931791,2025,01/14/2025 03:40:54 PM,41.968579368,-87.692969657,"(41.968579368, -87.692969657)"
13720258,JJ114751,01/01/2025 01:00:00 AM,023XX E 93RD ST,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING / GROUNDS,false,false,0413,004,7,48,06,1193360,1843756,2025,01/16/2025 03:40:46 PM,41.726219145,-87.567294437,"(41.726219145, -87.567294437)"
13707880,JJ100071,01/01/2025 01:10:00 AM,056XX S THROOP ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0713,007,16,67,08B,1168619,1867434,2025,01/09/2025 03:41:07 PM,41.791763159,-87.657240734,"(41.791763159, -87.657240734)"
13707838,JJ100061,01/01/2025 01:10:00 AM,004XX N WABASH AVE,0460,BATTERY,SIMPLE,HOTEL / MOTEL,false,false,1834,018,42,8,08B,1176592,1902931,2025,01/09/2025 03:41:07 PM,41.888993854,-87.626934833,"(41.888993854, -87.626934833)"
13708107,JJ100105,01/01/2025 01:14:00 AM,001XX E WALTON PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,false,true,1833,018,2,8,08B,1177514,1906956,2025,01/09/2025 03:41:07 PM,41.900017769,-87.623426629,"(41.900017769, -87.623426629)"
13707974,JJ100084,01/01/2025 01:15:00 AM,006XX N LAKE SHORE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,false,true,1834,018,2,8,08B,1179792,1904743,2025,01/09/2025 03:41:07 PM,41.893893173,-87.615127644,"(41.893893173, -87.615127644)"
13708345,JJ100559,01/01/2025 01:30:00 AM,055XX S BISHOP ST,0650,BURGLARY,HOME INVASION,RESIDENCE,false,false,0713,007,16,67,05,1167612,1867907,2025,01/09/2025 03:41:07 PM,41.793082799,-87.660919654,"(41.793082799, -87.660919654)"
